origin,destination,airlines,distance_miles
ABE,ATL,DL,692
ABE,BNA,G4,684
ABE,CLT,AA,481
ABE,DEN,G4,1535
ABE,FLL,G4,1043
ABE,MCO,G4,908
ABE,MLB,G4,916
ABE,MYR,G4,519
ABE,ORD,UA,653
ABE,PIE,G4,972
ABE,SFB,G4,884
ABE,SRQ,G4,1002
ABJ,ACC,EK,260
ABJ,ACC,ME,260
ABJ,ACC,QR,260
ABJ,ACC,SA,260
ABJ,ADD,ET,2939
ABJ,BRU,SN,3191
ABJ,CAI,MS,2869
ABJ,CDG,AF,3047
ABJ,CKY,ET,727
ABJ,CMN,AT,1956
ABJ,COO,SN,440
ABJ,COO,TK,440
ABJ,DLA,KQ,944
ABJ,DOH,QR,3919
ABJ,DSS,KQ,1105
ABJ,IST,TK,3200
ABJ,JFK,ET,4929
ABJ,LOS,ME,506
ABJ,NBO,KQ,2856
ABJ,OUA,SN,517
ABQ,ATL,DL,1267
ABQ,DEN,UA,349
ABQ,DFW,AA,568
ABQ,IAD,UA,1624
ABQ,IAH,UA,743
ABQ,JFK,B6,1822
ABQ,LAS,NK,485
ABQ,LAX,AA,676
ABQ,LAX,DL,676
ABQ,MSP,DL,980
ABQ,ORD,AA,1116
ABQ,ORD,UA,1116
ABQ,PDX,AS,1110
ABQ,PHX,AA,328
ABQ,SEA,AS,1179
ABQ,SFO,UA,894
ABQ,SLC,DL,493
ABS,ASW,MS,134
ABV,ADD,ET,2151
ABV,CAI,MS,2134
ABV,CDG,AF,2778
ABV,CMN,AT,1931
ABV,DOH,QR,3118
ABV,FRA,LH,2836
ABV,IST,TK,2586
ABV,KAN,QR,227
ABV,LFW,AF,456
ABV,LHR,BA,2967
ABV,NDJ,AF,570
ABV,PHC,LH,277
ABV,PHC,QR,277
ACA,DFW,AA,1128
ACA,IAH,UA,956
ACA,MEX,AM,190
ACC,ABJ,EK,260
ACC,ABJ,ME,260
ACC,ABJ,QR,260
ACC,ABJ,SA,260
ACC,ABJ,SN,260
ACC,ADD,ET,2679
ACC,AMS,KL,3239
ACC,ATL,DL,5675
ACC,BEY,ME,3001
ACC,BRU,SN,3141
ACC,CAI,MS,2661
ACC,CMN,AT,1977
ACC,COO,SN,183
ACC,DOH,QR,3678
ACC,DSS,KQ,1308
ACC,DXB,EK,3908
ACC,FCO,AZ,2615
ACC,FNA,KQ,917
ACC,IAD,UA,5293
ACC,IST,TK,3040
ACC,JFK,DL,5109
ACC,JNB,SA,2904
ACC,LFW,SN,105
ACC,LGW,BA,3147
ACC,LHR,BA,3169
ACC,LIS,TP,2360
ACC,NBO,KQ,2604
ACC,ROB,KQ,702
ACC,TMS,TP,596
